date,q_cfs
2026-05-15,213.467
2026-05-16,188.001
2026-05-17,177.707
2026-05-18,144.542
2026-05-19,127.135
2026-05-20,113.573
2026-05-21,99.303
2026-05-22,96.617
2026-05-23,91.492
2026-05-24,89.905
2026-05-25,117.884
2026-05-26,164.959
2026-05-27,214.776
2026-05-28,235.827
2026-05-29,268.199
2026-05-30,249.952
2026-05-31,207.29
2026-06-01,182.809
2026-06-02,204.857
2026-06-03,211.196
2026-06-04,196.361
2026-06-05,188.285
2026-06-06,194.989
2026-06-07,191.935
2026-06-08,178.603
2026-06-09,166.991
2026-06-10,146.103
2026-06-11,133.201
2026-06-12,118.175
2026-06-13,119.641
2026-06-14,117.846
2026-06-15,113.243
NA,NA
